,question,answer,image_src
54,"A 14-year-old boy has persistent leukocytosis and neutrophilia without evidence of a current infection. He has a history of recurrent infections of the skin, upper and lower airways, and perirectal area. Gram-negative and gram-positive rods have been isolated. The number and function of B and T lymphocytes are normal. Production of hypochlorous acid by neutrophils and the nitroblue tetrazolium reduction test are normal. Neutrophil chemotactic response to the formyl-MetLeuPhe (fMLP) peptide is diminished. Which of the following disorders of neutrophils is the most likely diagnosis?","['Chronic granulomatous disease', 'Cyclic neutropenia', 'Leukocyte adhesion deficiency', 'Myeloperoxidase deficiency', 'Neutrophil-specific granule deficiency']",no_image
55,A 55-year-old woman is brought to the emergency department after being injured in a motor vehicle collision. She has an injury of the soft tissue of the face that prevents her from drinking from a glass without spilling the contents. Several days later she still has this problem. The photograph shows her attempting to purse her lips to whistle. Which of the following nerves is most likely damaged?,"['Buccal branch of the facial nerve', 'Inferior alveolar branch of the mandibular division of the trigeminal nerve', 'Infraorbital branch of the maxillary division of the trigeminal nerve', 'Mandibular branch of the facial nerve', 'Pharyngeal branches of the vagus nerve']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTgzNTMwNzM5LDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLDM2NkU4OTVBLUQxRTktNEQ3MS1CMEVBLTlFQzI4NjM3OTc1RSwsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-UjEMDAW12A4%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/023393B.JPG
56,A viral gene product is found to decrease expression of class I MHC molecules on the surfaces of infected cells. A mutant strain of virus is isolated that has a nonfunctional form of this gene. Which of the following types of cells are likely to contribute more effectively to control of the parental strain of the virus than to control of the mutant virus?,"['CD4+ T lymphocytes', 'CD8+ T lymphocytes', 'Follicular dendritic cells', 'Natural killer cells', 'Option is eliminated.Plasma cells']",no_image
57,"A 46-year-old woman comes to the physician because of temperatures of  38 to 39°C (100.4 to 102.2°F) and malaise for the past  2 days. She has chronic alcohol dependence. There are several spider angiomas on the face, chest, and back; she is not jaundiced. The abdomen is protuberant and nontender. There is shifting dullness to percussion. A firm liver edge is ballotable  3 cm below the right costal margin. Routine laboratory studies show mild anemia, mildly increased hepatic transaminase activities, and a decreased serum albumin concentration. Peritoneal aspiration yields serous fluid with 1100 leukocytes/mm3 (80% neutrophils) and  100 erythrocytes/mm3. Which of the following processes best accounts for the patient's febrile illness?","['Acute cholecystitis', 'Chronic pancreatitis', 'Exacerbation of autoimmune hepatitis', 'Pelvic inflammatory disease', 'Spontaneous bacterial peritonitis']",no_image
58,An 18-year-old woman is being evaluated for amenorrhea. She has never had a menstrual period. She is  183 cm (6 ft) tall. Breast development and external genitalia are normal. There is no axillary or pubic hair. Which of the following karyotypes is most likely?,"['45,X', '46,XX', '46,XY', '46,X,i(Xq)', '47,XXX']",no_image
59,Topical corticosteroid creams and phototherapy are often effective in the treatment of psoriasis. This effectiveness suggests a role for metabolism or nuclear binding of which of the following vitamins in the treatment of psoriatic lesions?,"['Niacin', 'Vitamin B1 (thiamine)', 'Vitamin B2 (riboflavin)', 'Vitamin B6 (pyridoxine)', 'Vitamin C', 'Vitamin D', 'Vitamin E', 'Vitamin K']",no_image
60,Which of the following is the mean number of episodes of urinary tract infections for children (n=100) in the sample shown in the graph?,"['1', '1.55', '2.07', 'Cannot be determined from this graph']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTU3NDEwNzk3MiwxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSxCNkM2MTVCNy1DMDZGLTRCMTMtODc5OC00RjVEOTc0QTBEMUUsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-2FkbLbdcOKU%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/014819B.GIF
61,"A 19-year-old man who is a college student is brought to the emergency department because of the sudden onset of right-sided chest pain and difficulty breathing after an accident in which he was thrown from his bicycle. He has difficulty walking and cannot climb stairs because of pain and shortness of breath. He is slightly cyanotic, afebrile, and tachypneic. Which of the following is most suggestive that fractured ribs caused the respiratory problem?","['Bronchophony', 'Expiratory stridor', 'Inspiratory stridor', 'Subcutaneous crepitus', 'Succussion splash']",no_image
62,A 61-year-old man has erectile dysfunction due to spinal cord injury at L-2. Sildenafil is likely to markedly correct the dysfunction by acting at which of the following labeled structures in the transverse section of the penis?,"['A', 'B', 'C', 'D']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=NTU3MDM0NjI1LDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLDE4MTQ2ODdDLTQwOUQtNDBERi1CRTIzLUJCNjFGMTAzNjdEOCwsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-VqPKyYV7WrU%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/023503B.JPG
63,A 35-year-old woman is brought to the emergency department after she sustains a fracture of the neck of the fibula of her right leg. She was struck by a car while crossing the street. Which of the following findings is most likely on examination of the affected leg? Pain OverPain Over    Proximal FibulaDistal FibulaDorsiflexionPlantar FlexionAchilles Reflex,"['Absent', 'absent', '4/5', '1/5', '1+', 'Absent', 'present', '0/5', '4/5', '1+', 'Present', 'absent', '1/5', '4/5', '2+', 'Present', 'absent', '5/5', '0/5', 'absent', 'Present', 'present', '4/5', '4/5', '2+']",no_image
64,"A 10-year-old boy who has begun chemotherapy for acute myelogenous leukemia awakens at night with fever and severe pain in the ankles. Treatment with over-the-counter analgesics does not resolve the pain. The next morning, he has pain with urination and blood in the urine. An increased serum concentration of which of the following compounds is the most likely cause of this patient's symptoms?","['Cystine', 'Glycine', 'Magnesium', 'Urea', 'Uric acid']",no_image
65,A 56-year-old woman has recently diagnosed carcinoma of the breast. An x-ray of the chest shows a tumor next to the right side of the heart. An enhanced CT scan with the tumor invading the pericardium is shown. Which of the following structures is most likely involved?,"['Coronary sinus', 'Greater splanchnic vein', 'Right phrenic nerve', 'Right vagus nerve', 'Thoracic duct']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTI0NjkyNTM4LDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLDcxMzM4MjM3LUE1OTYtNDQ2OC05NzY3LTc0NTg2QjUyM0I1NywsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-jkDiafXP36U%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/027141.JPG
66,"A previously healthy 6-month-old boy is brought to the physician because of a cough for  1 week. Initially he had a low-grade fever, sneezing, congestion, and runny nose. He then developed a dry intermittent cough. The parents now note that with any startle the baby chokes and gasps. He has not had any immunizations. Physical examination shows paroxysms of ""machine gun"" -like coughing with a forced expiratory grunt at the end of coughing. Leukocyte count is 30,000/mm3 (70% lymphocytes). Neutrophil chemotaxis and oxidative metabolism are defective due to increased activity of which of the following enzymes?","['Adenylyl cyclase', 'Myeloperoxidase', 'NADPH oxidase', 'Phospholipase C', 'Protein kinase C']",no_image
67,"A 27-year-old woman is brought to the physician by her family because she has been progressively lethargic and unwilling to leave her apartment over the past week. She has been receiving treatment in a mental health center for  10 years but missed her last appointment  18 days ago because of a snowstorm. She is now reluctant to return because she believes the staff is involved in an extraterrestrial plot. Three years ago, she had similar symptoms treated with electroconvulsive therapy. She appears disheveled. She is having auditory hallucinations of several people talking about her. Physical examination shows normal findings. She has poor eye contact, a flat affect, and slow speech. She describes an elaborate delusional system about the plot at the mental health center. Thought content is otherwise impoverished. Which of the following is the most likely diagnosis?","['Bipolar disorder, depressed', 'Borderline personality disorder', 'Delusional disorder', 'Schizophrenia', 'Schizotypal personality disorder']",no_image
68,"An 88-year-old man who lives alone is brought to the physician by his daughter because she is concerned that he has not been eating a well-balanced diet for  9 months. He is  170 cm (5 ft 7 in) tall and weighs  50 kg (110 lb);  BMI is 17 kg/m2. Physical examination shows multiple ecchymoses on the upper and lower extremities. Laboratory studies show:Platelet count160,000/mm3Prothrombin time12 sec (INR=1)Serum  Vitamin B6 (pyridoxine)9 ng/dL (N=5–30) Vitamin C (ascorbic acid)0.1 mg/dL (N=0.4–2) Folic acid5 ng/dL (N=2–20)The ecchymoses in this patient are most likely due to a disorder of which of the following?","['Arachidonic acid production', 'Binding of carboxyglutamic acid to phospholipid', 'Carboxylation of factor II (prothrombin)', 'Proline hydroxylation', 'Transfer of methyl groups to organic acids']",no_image
69,A 24-year-old woman comes to the physician for advice about contraceptive methods. She is recently married and is not interested in having children until her mid 30s. Which of the following contraceptives carries the highest risk for interference with fertility in this patient later in life?,"['Cervical cap with spermicidal jelly', 'Condoms and spermicidal foam', 'IUD', 'Oral contraceptive', 'Progestin implant']",no_image
70,A 65-year-old man develops urinary incontinence immediately after an operation for prostate cancer. The most likely cause of his condition is damage to the prostatic nerve plexus that resulted in denervation of the internal urethral sphincter. The function of which of the following types of tissue is most likely impaired as a result of this damage?,"['Dense irregular connective tissue', 'Dense regular connective tissue', 'Skeletal muscle', 'Smooth muscle', 'Transitional epithelium']",no_image
71,"A moderately obese 55-year-old man is brought to the emergency department because of a  10-hour history of severe chest pain. He has a  5-year history of exercise-induced angina. His pulse is 109/min, respirations are 15/min, and blood pressure is  132/92 mm Hg. Physical examination shows diaphoresis. A blood sample obtained  2 hours after admission shows increased serum activity of creatine kinase MB. Which of the following is the most likely cause of this laboratory finding?","['Increased Golgi complex activity', 'Increased permeability of the plasma membrane', 'Mitochondrial swelling', 'Nuclear lysis', 'Option is eliminated.Proliferation of the endoplasmic reticulum']",no_image
72,"A study is designed to measure the impact of exercise on the incidence of myocardial infarction. Subjects are enrolled in the study and divided into two groups based on their self-reported exercise habits. At the end of the study, subjects who reported exercising have half the incidence of myocardial infarction compared with the subjects who did not exercise. Which of the following best describes this study design?","['Case-control', 'Case series', 'Cohort', 'Cross-sectional', 'Randomized clinical trial']",no_image
73,A case-control study is conducted to determine if obesity is a risk factor for gastroesophageal reflux disease (GERD). A questionnaire is used to select subjects with severe symptoms of GERD and subjects with no symptoms. A BMI is calculated for each subject. The results (in kg/m2) are shown: BMI<2525<BMI<3030<BMI<35BMI>35Subjects with GERD symptoms30090020050Subjects with no symptoms70090020030Which of the following represents the odds ratio for GERD symptoms in subjects with BMIs greater than  35 compared with subjects with BMIs less  than 25?,"['(50×30) / (300×700)', '(50×700) / (30×300)', '[50/(30+50)] / [300/(300+700)]', '[50/(50+300)] / [30/(30+700)]', '[50/(50+200+900+300)] / [30/(30+200+900+700)]']",no_image
74,"A 60-year-old woman comes to the physician because of a 6-month history of pain in her hips and knees. Physical examination shows findings consistent with osteoarthritis, and the physician recommends ibuprofen. The patient refuses and asks about taking glucosamine. Which of the following responses by the physician is most appropriate?","['""Glucosamine hasn\'t been studied well enough for me to recommend it.""', '""Glucosamine\'s side effects aren\'t listed. It may be more dangerous than we realize.""', '""Ibuprofen has been proven effective for your condition.""', '""What have you heard about using glucosamine to treat arthritis?""', '""Why did you come to me if you don\'t want to take what I recommend?""', '""You should really see a naturopathic doctor.""']",no_image
75,"A 16-year-old boy is brought to the emergency department because of a  2-day history of increasingly severe abdominal pain. His temperature is  39°C (102.2°F), pulse is 86/min, respirations are 18/min, and blood pressure is  120/60 mm Hg. Abdominal examination shows exquisite tenderness of the right lower quadrant. His leukocyte count is 16,000/mm3. An appendectomy is done; the appendix is swollen with a tan exudate on the serosal surface. Which of the following best characterizes the leukocytosis in this patient?","['Basophilia', 'Eosinophilia', 'Lymphocytosis', 'Monocytosis', 'Neutrophilia']",no_image
76,"A 36-year-old man with HIV infection has been treated with a combination of antiretroviral drugs, including zidovudine (AZT), for 3 years. Laboratory studies show a marked increase in his plasma HIV viral load during the past 3 months. Viral resistance to zidovudine is suspected. A mutation in which of the following is most likely to explain the resistance to zidovudine in this patient?","['Integrase', 'Neuraminidase', 'Protease', 'RNA-dependent DNA polymerase', 'Thymidine kinase']",no_image
77,A 62-year-old woman develops difficulty breathing. Pulmonary function tests before and after bronchodilator therapy show no changes. Predicted and patient values are:TestPredictedPatientFVC (L)5.04.0  FEV1 (L)4.02.4FEV1/FVC0.80.6Total lung capacity (L)6.07.2Residual volume (L)1.62.7Which of the following is the most likely explanation for these findings? Airway ResistanceLung Compliance,"['↑', '↑', '↑', 'normal', 'Normal', '↓', '↓', '↑', '↓', '↓']",no_image
78,"A 25-year-old woman comes to the physician for a routine health maintenance examination. She is currently preparing for an 8-km  (5-mile) race, and she sprint trains twice weekly. During this training, she runs  200-meter sprints in two groups of  10 sprints separated by a  30-second rest between each sprint in a group, and a  2-minute rest between each group  of 10. After the workout her legs feel weak, and her muscles burn and sometimes cramp. Which of the following best explains her symptoms?","['Decreased activity of the sodium-proton antiporter, resulting in an acidic sarcoplasm', 'Increased activity of the sodium-proton antiporter, resulting in an acidic sarcoplasm', 'Increased oxygen delivery to the muscle, leading to increased metabolism and acid production', 'Regeneration of NAD+ from NADH, which produces acid']",no_image
79,A 70-year-old man dies in a motor vehicle collision. He had been undergoing evaluation for occult blood in the stool. A photograph of a section of the transverse colon obtained at autopsy is shown. Which of the following is the most likely diagnosis?,"['Hyperplastic polyp', 'Inflammatory pseudopolyp', 'Juvenile polyp', 'Peutz-Jeghers syndrome', 'Tubular adenoma']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTUxNjkzNzY1NywxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSxERkEwMzBFQS03OUFBLTQ0QUEtOTAzNC1ERTY1NDM0RDkzMEIsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-6S792cn01NI%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/016267.JPG
80,"Drug X is used to treat pain associated with rheumatoid arthritis. The drug is a weak acid, with a  pKa of 4.4; it is absorbed principally through the stomach. It is determined that Drug X is absorbed efficiently by the body because of the ionization conditions under which it exists at gastric and blood pH. Which of the following sets of physical chemical states of the drug is most likely? At Gastric pHAt Blood pH","['Ionized', 'ionized', 'Ionized', 'nonionized', 'Nonionized', 'ionized', 'Nonionized', 'nonionized']",no_image
81,"A 25-year-old woman with a history of rheumatic fever and mitral valve dysfunction comes to the physician because of a2-week history of fever and fatigue. She underwent a root canal procedure1 month ago, before which she had taken a single dose of amoxicillin. Her temperature is38.4°C (101.2°F). A grade 4/6 blowing murmur is heard on auscultation under the left axilla. A photomicrograph of a Gram stain of the organism recovered from a blood culture specimen is shown. On blood agar plates, the organism shows alpha hemolysis. Which of the following is the most likely causal organism?","['Enterococcus faecalis', 'Group A beta-hemolytic streptococci', 'Staphylococcus aureus', 'Streptococcus mitis', 'Streptococcus pneumoniae']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTAzODMzNDg1OSwxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSxEMjQ0RDVFNi01QUU5LTRFRTYtOUM2Qy0xNTI5MjRGQTU3OTgsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-NNjdT6BPHCk%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/034370.jpg
82,"A previously healthy 40-year-old man is brought to the emergency department 1 hour after the sudden onset of severe pain in his left leg while playing tennis. He is found to have ruptured the left Achilles tendon and undergoes operative repair and long leg cast immobilization. Six months later, the left calf shows a 2-cm decrease in circumference compared with the right calf. Which of the following is the most likely cause of this decrease?","['Decreased glycogen synthesis', 'Decreased myosin light chain phosphatase activity', 'Increased phosphatidyl degradation', 'Increased protein degradation', 'Mitochondria damage', 'Necrosis of muscle fibers']",no_image
83,"A 14-year-old boy is brought to the physician by his mother because of daily headaches for 2 months. The headaches are described as a bilateral aching in the temples. His mother states that he also ""has not been himself"" for the past few months. He seems more confused, often forgetting names, dates, and places, and he  is clumsy with frequent falls. His school performance also has declined over the past quarter. Physical examination shows a broad-based, ataxic gait. He is alert and oriented to person, place, and time, but he is slow to answer questions. Chronic abuse of which of the following substances is the most likely cause of this patient's condition?","['Cocaine', 'Ethanol', 'Inhaled glue', 'Methamphetamines', 'PCP (phencyclidine)']",no_image
84,"A 24-year-old woman is brought to the emergency department  15 minutes after the sudden onset of shortness of breath following a bee sting. Her pulse is 130/min, and blood pressure is  70/30 mm Hg. Three hours later, her blood pressure returns to normal following administration of intravenous fluids, corticosteroids, antihistamines, and epinephrine. The next day, she has minimal urine output. Which of the following areas of the kidney is likely to be most affected with this patient's prolonged hypotension?","['Glomerular epithelial cells', 'Loop of Henle', 'Medullary interstitium', 'Mesangial cells', 'Proximal tubules']",no_image
85,"A previously healthy 10-year-old girl is brought to the physician by her mother because of a  6-week history of headache, nausea, and difficulty walking. An MRI of the brain shows a mass in the posterior fossa that is found to be an astrocytoma. This tumor developed from cells that normally serve which of the following functions in the brain?","['Formation of myelin sheaths in the central nervous system', 'Phagocytosis of recycled synaptic terminal membrane', 'Production and secretion of cerebrospinal fluid', 'Termination of action potentials', 'Transport of hormones from the cerebral spinal fluid to capillaries', 'Uptake of amino acid neurotransmitters']",no_image
86,"An investigator is studying a large family with many members who are affected by a disorder caused by a fully penetrant autosomal dominant inherited gene mutation. A pedigree is shown. Most affected members also have a rare allele at a locus thought to be closely linked to the disease locus. A father (individual III-3) and his daughter (individual IV-3) have the disorder, but they have the  wild-type allele at the linked locus. Which of the following is the most likely cause of these findings?","['Insertion of a LINE sequence', 'Random segregation', 'Recombination', 'Single nucleotide polymorphism', 'Transduction']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTIyMjE1OTI2MywxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSwxRkQ4RUE4Mi03MUU1LTQ1NEItQTkwOC1BNDIxM0UzMEVCQzQsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-vtZJfGq6BEI%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/037549.gif
87,A 32-year-old woman comes to the physician for a follow-up examination after atypical cells were noted on a recent Pap smear. Physical examination shows a  1 x 1-cm area of leukoplakia on the cervix. A biopsy specimen of the lesion shows invasive squamous cell carcinoma. Malignant cells from this site will most likely drain first to which of the following lymph nodes in this patient?,"['Femoral', 'Inferior mesenteric', 'Internal iliac', 'Lumbar', 'Superficial inguinal']",no_image
88,"An investigator is studying β2-adrenoreceptors in female experimental animals. During the experiment, epinephrine is injected intramuscularly into each animal, and the effects on β2-adrenoreceptors are then observed. Which of the following physiologic effects is most likely to be observed in these animals?","['Increased myocardial contractility', 'Internal urethral sphincter contraction', 'Lipolysis', 'Pilomotor contraction', 'Pupillary dilation', 'Uterine relaxation']",no_image
89,"A 3-year-old girl is brought to the physician because of a  2-week history of diarrhea. Her temperature is  37.6°C (99.8°F), pulse is  70/min, respirations are  18/min, and blood pressure is  110/70 mm Hg. Physical examination shows generalized lymphadenopathy. A CT scan of the chest and abdomen shows enlarged lymph nodes in the mesentery and para-aortic region. Examination of a lymph node biopsy specimen shows marked proliferation of histiocytes and numerous segmented neutrophils. Granulomata are absent, and special stains show numerous acid-fast bacilli, which are subsequently identified as Mycobacterium avium-intracellulare. Serum studies show normal concentrations of IgA, IgG, IgM, B lymphocytes, T lymphocytes, and CD4+ and CD8+ T lymphocytes. This patient most likely has defective function or expression of which of the following proteins?","['Class I MHC molecules', 'Interferon-gamma receptor', 'Interleukin-2 (IL-2) receptor', 'Leukocyte function-associated antigen-1', 'NADPH oxidase']",no_image
90,"A 50-year-old man comes to the physician because of a  2-month history of pain of his wrists, changes in skin color, and progressive fatigue. His brother has  type 2 diabetes mellitus and cirrhosis. Physical examination shows bronze-colored skin, tenderness of the metacarpophalangeal joints in both hands, and hepatosplenomegaly. Serum studies show:AST100 U/LALT110 U/LFerritin1200 ng/mLTotal iron-binding capacity200 μg/dL (N=250–400)Transferrin saturation80% (N=20–50)Analysis of a liver biopsy specimen shows a markedly increased iron concentration and cirrhosis. Which of the following is the most likely cause of the findings in this patient?","['Increased erythropoietin action', 'Increased intestinal iron absorption', 'Increased oral iron intake', 'Decreased erythropoiesis', 'Decreased iron excretion', 'Decreased serum transferrin concentration']",no_image
91,"A 62-year-old man is brought to the emergency department  2 hours after the sudden onset of pain and coolness of his right leg. He is otherwise healthy except for mild hyperthyroidism treated with propylthiouracil. Examination of the lower extremities shows normal skin, nails, and hair growth patterns. Pulses are absent in the right lower extremity and normal on the left. Which of the following is the most likely diagnosis?","['Cellulitis', 'Deep venous thrombosis', 'Embolic arterial occlusion', 'Lumbar disc herniation', 'Rhabdomyolysis']",no_image
92,"A 14-year-old girl is brought to the physician because of a 1-month history of migraine-like headaches, vomiting, and multiple left-sided focal seizures. She has had hearing loss since the age of  11 years. Her mother and maternal grandmother have high-tone deafness. Physical examination shows loss of vision in one half of the visual field of the right eye and weakness of the right upper and lower extremities. Serum and cerebrospinal fluid concentrations of lactic acid are increased. This patient most likely has a mutation of which of the following?","['Endoplasmic reticulum glycosyltransferase', 'Lysosomal α-glucosidase', 'Mitochondrial tRNALeu', 'Nuclear proteasome activator', 'Peroxisomal catalase']",no_image
93,"A 45-year-old woman comes to the physician because of a 6-month history of shortness of breath with exertion and a nonproductive cough. She sometimes has difficulty swallowing and often has heartburn, especially if she lies down after a meal. She adds that her fingers have swollen, and she has had to get her wedding ring resized. Her fingers also become white and painful in cold weather or cold water. Her pulse is 75/min, respirations are 20/min, and blood pressure is  150/100 mm Hg. Physical examination shows tight, smooth facial skin without wrinkles. Additional testing is most likely to show which of the following sets of cardiovascular changes in this patient? Left VentricularMean PulmonaryCoronary Vascular Diastolic ComplianceArtery PressureResistance","['↑', '↑', '↑', '↑', '↑', '↓', '↑', '↓', '↑', '↑', '↓', '↓', '↓', '↑', '↑', '↓', '↑', '↓', '↓', '↓', '↑', '↓', '↓', '↓']",no_image
94,"A 26-year-old woman comes to the physician because of a 1-week history of rectal pain that is made more severe by defecation, and occasional blood on the toilet tissue after a bowel movement. She says that her stools appear normal and that she has not had any trauma. She has a history of chronic constipation. Visual rectal examination shows the findings in the photograph. Which of the following is the most likely diagnosis?","['Anal fissure', 'Bowen carcinoma', 'Condyloma acuminatum', 'Perianal abscess', 'Prolapsed internal hemorrhoid']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MjA5OTIzMjYzNSwxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSw4NEJENUJCMi1BREFFLTQ2QzEtOUFEMy04MDQ3MTJCMzEwNUMsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-Y2ykQspK43U%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/025377.JPG
95,A 3-year-old boy is brought to the physician because of a1-month history of pale skin. His parents are of European descent. He has no personal or family history of major medical illness. Physical examination shows pallor. Laboratory studies show:   Hemoglobin8 g/dL (N=11–15)Hematocrit24% (N=28–45)Mean corpuscular hemoglobin concentration34% Hb/cell (N=31–36)Mean corpuscular volume90 μm3 (N=77–98)A photomicrograph of a peripheral blood smear is shown. Genetic testing is most likely to show which of the following findings in this patient?,"['Heterozygous mutation in the ankyrin gene', 'Heterozygous mutation in the α-globin gene', 'Heterozygous mutation in the β-globin gene', 'Homozygous mutation in the ankyrin gene', 'Homozygous mutation in the α-globin gene', 'Homozygous mutation in the β-globin gene']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=NTUzNjk0MjU5LDE5LjMuMC4xLDE0Mjc0Nzg4LDMwLDIwMDksRU5VLEY0RTgxQjFBLTA0NDYtNDg4Qy1BOTEzLTk2MDU3OTRDRkZBRSwsMzIsMCwwLCwsMiwxLGVkZ2UsMA%3d%3d-ohE4XD7J6Yo%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/016139.JPG
96,A 21-year-old woman of Japanese descent comes to the emergency department because of a 3-hour history of facial flushing. Her symptoms began shortly after she drank a glass of champagne for the first time at a wedding reception. Physical examination shows profound erythema over the face. The most likely cause of these findings is a mutation in the gene for which of the following enzymes?,"['Acetyl-CoA reductase', 'Alcohol catalase', 'Alcohol dehydrogenase', 'Alcohol reductase', 'Aldehyde dehydrogenase']",no_image
97,"An 18-year-old woman comes to the physician because of progressive fever, general malaise, and blood in her urine since she began oral antibiotic therapy for a urinary tract infection  5 days ago. She also has a  3-day history of a rash. Her temperature is  38°C (100.4°F), pulse is  75/min, respirations are  12/min, and blood pressure is  125/80 mm Hg. Physical examination shows a petechial rash over the chest, back, and upper and lower extremities. Urinalysis shows:Blood3+Protein1+Leukocytes150/hpf Eosinophils30%Which of the following is the most likely diagnosis?","['Acute tubular necrosis', 'Glomerulonephritis', 'IgA nephropathy', 'Interstitial nephritis', 'Papillary necrosis']",no_image
98,"A 32-year-old primigravid woman delivers a healthy  3402-g (7-lb 8-oz) male newborn after an uncomplicated cesarean delivery because of a nonreassuring fetal stress test. Two days prior to discharge from the hospital, she has persistent numbness of the area surrounding the abdominal incision. The physician assures the patient that sensation will gradually return as the nerves regenerate. Which of the following best describes the rate-limiting step in this patient's return to normal sensation?","['Dorsal root ganglion cell proliferation', 'Fast anterograde axonal transport', 'Fibroblast proliferation', 'Retrograde axonal transport', 'Slow anterograde axonal transport']",no_image
99,"A 22-year-old woman comes to the office because of a 3-day history of nonproductive cough. She also has a 1-week history of fatigue, progressive shortness of breath with exertion and while lying down, and swelling of her legs and feet. She delivered a male newborn via uncomplicated vaginal delivery 1 month ago. She has no history of major medical illness and takes no medications. Her temperature is 37.7°C (99.8°F), pulse is 104/min, respirations are 20/min, and blood pressure is 126/80 mm Hg. Bilateral basilar crackles are heard. There is 1+ edema of the lower extremities bilaterally. Which of the following is the most likely diagnosis?","['Amniotic fluid embolism', 'Cardiomyopathy', 'Major depressive disorder', 'Pneumonia', 'Pulmonary embolism', 'Pulmonary fibrosis']",no_image
100,The tracing shows contractile responses of a skeletal muscle preparation to electrical stimulation at five different frequencies. The amount of calcium sequestration in sarcoplasmic reticulum is highest during which of the following labeled responses?,"['A', 'B', 'C', 'D', 'E']",https://www.starttest.com/ITDVersions/19.3.0.1/itdmedia.aspx?data=MTk2ODk1NjY0MiwxOS4zLjAuMSwxNDI3NDc4OCwzMCwyMDA5LEVOVSxFRUQ1MDMxNC0zMjQyLTRDREQtQkZBNC04NDRENENBNjNFMkEsLDMyLDAsMCwsLDIsMSxlZGdlLDA%3d-4W2ff8T6wZo%3d&cv=2&programid=30&language=ENU&urid=6-1330-ENU-CBSSA2022-CBSSA-A0010-1/0201947.gif
101,"A 13-year-old boy is scheduled to receive chemotherapy for a leukemia that has the histologic features of malignant lymphocytes. This neoplasm is further typed for cell surface and intracellular markers specific for lymphocyte subsets. The neoplastic cells do not express the following markers: CD4, CD8, surface IgM, surface IgG, cytoplasmic IgM and μ-heavy chain, cytoplasmic IgG, and γ-heavy chain. The leukemic cells express class I MHC molecules and show rearrangement of the T-lymphocyte receptor β-chain gene D and J segments. Which of the following is the normal counterpart of these malignant lymphocytes?","['Activated cytolytic effector T lymphocytes in the circulation', 'Mature IgM-secreting B lymphocytes in the lymph node', 'Mature immunoglobulin-secreting plasma cells in the lymph node', 'Pre-B lymphocyte progenitor of mature B lymphocytes in the bone marrow', 'T-lymphocyte thymocytes localized to the thymic cortex']",no_image
